Primary Type,Subtype
City,AdministrativeDivision
City,AircraftManufacturer
City,Airport
City,AirportOperator
City,AwardWinner
City,BodyOfWater
City,Broadcast
City,Building
City,ChineseAutonomousCounty
City,CityTown
City,CollegeUniversity
City,Company
City,Country
City,Cuisine
City,Dedicatee
City,Disease
City,DutchMunicipality
City,EnglishCivilParish
City,EnglishMetropolitanBorough
City,Facility
City,FictionalUniverse
City,FilmScreeningVenue
City,FootballTeam
City,FrenchDepartment
City,GeographicFeature
City,GermanState
City,GermanUrbanDistrict
City,GovernmentalJurisdiction
City,HumanLanguage
City,IndianCity
City,IndonesianCity
City,Island
City,ItalianComune
City,JapaneseDesignatedCity
City,JapanesePrefecture
City,Kingdom
City,Lake
City,Location
City,MilitaryConflict
City,MilitaryPost
City,Mountain
City,Museum
City,MusicalArtist
City,Neighborhood
City,OlympicBiddingCity
City,OlympicHostCity
City,Organization
City,Person
City,PlaceOfWorship
City,PlaceWithNeighborhoods
City,PoliticalDistrict
City,RadioStation
City,RecordProducer
City,Region
City,River
City,School
City,SchoolDistrict
City,ScottishCouncilArea
City,SoccerClub
City,SportsTeam
City,TouristAttraction
City,USCounty
City,USIndianReservation
City,VietnameseProvincialCities
City,Waterfall
City,WineRegion
Company,Accommodation
Company,AdministrativeDivision
Company,AircraftManufacturer
Company,Airline
Company,Airport
Company,AwardNominee
Company,AwardPresentingOrganization
Company,AwardWinner
Company,BasketballConference
Company,BodyOfWater
Company,Brand
Company,Bridge
Company,Broadcast
Company,BroadcastArtist
Company,BroadcastContent
Company,BroadcastDistributor
Company,Building
Company,Cemetery
Company,CityTown
Company,CollegeUniversity
Company,Company
Company,CompanyDivision
Company,CompanyFounder
Company,Composer
Company,ConductedEnsemble
Company,Dedicatee
Company,DrinkingEstablishment
Company,Facility
Company,FashionDesigner
Company,FashionLabel
Company,Film
Company,FilmCinematographer
Company,FilmCompany
Company,FilmCostumerDesigner
Company,FilmDirector
Company,FilmDistributor
Company,FilmFestival
Company,FilmProducer
Company,GeographicFeature
Company,HallOfFame
Company,HistoricPlace
Company,Hospital
Company,House
Company,Inventor
Company,Island
Company,Lake
Company,Location
Company,Magazine
Company,MembershipOrganization
Company,Mountain
Company,Museum
Company,MusicalAlbum
Company,MusicalArtist
Company,MusicalGroup
Company,MusicalInstrumentCompany
Company,Newspaper
Company,OperaCompany
Company,Orchestra
Company,Organization
Company,PeriodicalPublisher
Company,Person
Company,PlaceOfWorship
Company,ProductionCompany
Company,PublicLibrary
Company,RadioNetwork
Company,RadioStation
Company,RecordLabel
Company,RecordProducer
Company,RecurringEvent
Company,River
Company,Road
Company,School
Company,ShoppingCenter
Company,SportsFacility
Company,SportsTeam
Company,Stadium
Company,Station
Company,TelevisionShow
Company,TelevisionStation
Company,Theater
Company,TouristAttraction
Company,TVChannel
Company,TVNetwork
Company,TVProducer
Company,TVWriter
Company,University
Company,VentureFundedCompany
Company,VideoGameDesigner
Company,VideoGameDeveloper
Company,VideoGameEngineDeveloper
Company,VideoGamePublisher
Company,Website
Company,WineProducer
Country,AdministrativeDivision
Country,BoardMember
Country,BodyOfWater
Country,Building
Country,CityTown
Country,Country
Country,Cuisine
Country,Facility
Country,Family
Country,FrenchDepartment
Country,FrenchRegion
Country,GeographicFeature
Country,GovernmentalJurisdiction
Country,HumanLanguage
Country,Island
Country,IslandGroup
Country,Kingdom
Country,Location
Country,Monastery
Country,Mountain
Country,NobleTitle
Country,PoliticalDistrict
Country,Region
Country,RoyalLine
Country,UKOverseasTerritory
EntertainmentAward,Award
EntertainmentAward,RecurringEvent
GeographicFeature,AdministrativeDivision
GeographicFeature,Airport
GeographicFeature,ArchitecturalContractor
GeographicFeature,BoardMember
GeographicFeature,BodyOfWater
GeographicFeature,Bridge
GeographicFeature,Broadcast
GeographicFeature,Building
GeographicFeature,CityTown
GeographicFeature,Country
GeographicFeature,Facility
GeographicFeature,GeographicFeature
GeographicFeature,GovernmentalJurisdiction
GeographicFeature,HistoricPlace
GeographicFeature,House
GeographicFeature,IndonesianCity
GeographicFeature,Island
GeographicFeature,IslandGroup
GeographicFeature,Lake
GeographicFeature,Lighthouse
GeographicFeature,Location
GeographicFeature,Mountain
GeographicFeature,MountainPass
GeographicFeature,Museum
GeographicFeature,OlympicVenue
GeographicFeature,Park
GeographicFeature,ProjectParticipant
GeographicFeature,RadioStation
GeographicFeature,River
GeographicFeature,Skyscraper
GeographicFeature,SportsFacility
GeographicFeature,Stadium
GeographicFeature,TouristAttraction
GeographicFeature,Waterfall
HealthCondition,DiseaseCause
HealthCondition,MusicalArtist
HealthCondition,MusicalGroup
Movie,Actor
Movie,Award
Movie,AwardNominee
Movie,AwardWinner
Movie,Book
Movie,Broadcast
Movie,BroadcastContent
Movie,Celebrity
Movie,Company
Movie,Composition
Movie,ConcertFilm
Movie,Film
Movie,FilmActor
Movie,FilmCompany
Movie,FilmDistributor
Movie,FilmEditor
Movie,FilmFestival
Movie,FilmProducer
Movie,FilmSeries
Movie,MusicalAlbum
Movie,MusicalArtist
Movie,MusicalGroup
Movie,Organization
Movie,Person
Movie,Play
Movie,ProductionCompany
Movie,PublishedWork
Movie,RecurringEvent
Movie,TelevisionShow
Movie,TVActor
Movie,TVEpisode
Movie,TVProducer
Movie,WorkOfFiction
MusicalGroup,Actor
MusicalGroup,BroadcastArtist
MusicalGroup,Building
MusicalGroup,DisasterSurvivor
MusicalGroup,DisasterVictim
MusicalGroup,Facility
MusicalGroup,FilmActor
MusicalGroup,FilmDirector
MusicalGroup,FilmMusicContributor
MusicalGroup,Guitarist
MusicalGroup,HallOfFameInductee
MusicalGroup,Location
MusicalGroup,MilitaryPerson
MusicalGroup,MusicalArtist
MusicalGroup,MusicalGroup
MusicalGroup,MusicalGroupMember
MusicalGroup,OperaCompany
MusicalGroup,Orchestra
MusicalGroup,Person
MusicalGroup,RecordProducer
MusicalGroup,TVActor
NaturalDisaster,Accommodation
NaturalDisaster,AdministrativeDivision
NaturalDisaster,Airline
NaturalDisaster,Airport
NaturalDisaster,BodyOfWater
NaturalDisaster,Bridge
NaturalDisaster,BroadcastArtist
NaturalDisaster,Building
NaturalDisaster,BuildingComplex
NaturalDisaster,CauseOfDeath
NaturalDisaster,CityTown
NaturalDisaster,Company
NaturalDisaster,Disease
NaturalDisaster,DiseaseOrMedicalCondition
NaturalDisaster,EnglishCivilParish
NaturalDisaster,Facility
NaturalDisaster,Film
NaturalDisaster,GeographicFeature
NaturalDisaster,GovernmentalJurisdiction
